 0.3823   0.5976   0.7048 
-0.9865  -0.1050   0.1258 
-0.6511   0.1424  -0.7456 
-0.7009  -0.6480   0.2980 
-0.7179   0.4186  -0.5562 
-0.0509  -0.0740  -0.9960 
-0.2876  -0.7136   0.6388 
 0.2289   0.7412  -0.6310 
 0.0814   0.2610   0.9619 
-0.7206   0.1455  -0.6779 
-0.7043  -0.2328   0.6707 
-0.2290  -0.5667  -0.7915 
-0.8445   0.5353   0.0169 
 0.9087  -0.3365  -0.2471 
 0.2478  -0.9256  -0.2862 
-0.6033  -0.4452   0.6617 
-0.8979   0.3006   0.3215 
 0.0316   0.7519  -0.6586 
 0.1581   0.2822  -0.9462 
-0.7985   0.5983   0.0672 
-0.6409  -0.7247  -0.2532 
 0.8545  -0.4984   0.1462 
 0.7532  -0.6557   0.0524 
-0.4117   0.8792   0.2399 
 0.2272   0.9720   0.0608 
 0.8474  -0.4103   0.3371 
-0.0493  -0.2035   0.9778 
-0.9079  -0.2550   0.3326 
 0.1454   0.8420  -0.5195 
 0.5917   0.3197  -0.7401 
 0.3628   0.2468  -0.8986 
-0.4375  -0.5423  -0.7173 
-0.6862  -0.5562   0.4688 
 0.2025  -0.9762  -0.0776 
-0.4036  -0.3331   0.8521 
-0.5811   0.7805   0.2305 
 0.1982  -0.4733  -0.8583 
-0.5527  -0.6692  -0.4967 
 0.7519  -0.6575  -0.0491 
 0.8345   0.1139   0.5390 
 0.4365  -0.1396   0.8888 
-0.3126   0.0908   0.9455 
-0.4880   0.3531   0.7982 
 0.1346   0.8928  -0.4300 
-0.6480  -0.1085  -0.7539 
 0.9453   0.0453  -0.3231 
 0.4313  -0.7682   0.4732 
 0.8543   0.3904   0.3433 
 0.6962   0.2375   0.6775 
-0.3550   0.8540  -0.3803 
-0.8853   0.3343  -0.3233 
-0.1936  -0.6846   0.7027 
 0.2210  -0.9548   0.1989 
 0.7645  -0.0645  -0.6414 
-0.7981   0.3844  -0.4640 
-0.5379  -0.8056  -0.2484 
-0.3261   0.7232  -0.6088 
 0.4855  -0.3235   0.8122 
 0.8877   0.4353  -0.1499 
-0.3768   0.1836  -0.9079 
 0.6867   0.4090  -0.6009 
-0.1949   0.9801   0.0381 
-0.8429  -0.4171   0.3400 
 0.3901  -0.1221  -0.9127 
 0.4097  -0.8639   0.2930 
-0.2082  -0.9768   0.0502 
 0.9471  -0.2581  -0.1906 
-0.7553  -0.4340  -0.4911 
-0.5947  -0.8034   0.0282 
-0.5829  -0.7552  -0.2998 
 0.8838   0.4679  -0.0008 
-0.7260  -0.3065  -0.6156 
 0.9810  -0.1882  -0.0479 
 0.5346   0.0225  -0.8448 
 0.9705   0.2409   0.0086 
 0.0228   0.8685   0.4951 
 0.8365   0.4861  -0.2528 
-0.1816  -0.0481  -0.9822 
-0.4412   0.8173  -0.3707 
-0.7106   0.0634  -0.7007 
-0.5803   0.3046  -0.7553 
-0.9245  -0.3557   0.1371 
 0.0201  -0.9995   0.0263 
 0.3327   0.4860  -0.8082 
 0.0161   0.9998  -0.0104 
-0.3166  -0.8951   0.3139 
 0.5202   0.8311   0.1966 
-0.3668  -0.1873   0.9112 
-0.7442  -0.0072  -0.6679 
 0.8228  -0.1177  -0.5560 
 0.4513   0.8434   0.2916 
-0.6691  -0.6304  -0.3937 
-0.0362  -0.8136   0.5803 
 0.6030  -0.7973   0.0273 
 0.5904   0.2081   0.7798 
-0.4496  -0.2201   0.8657 
 0.2058  -0.7415   0.6386 
-0.1480   0.9450  -0.2918 
-0.8972  -0.3719  -0.2381 
 0.5332   0.6215  -0.5740 
 0.4352   0.8898   0.1370 
-0.7378   0.3965   0.5463 
 0.4985  -0.7277  -0.4711 
 0.7762   0.6304  -0.0117 
 0.0849   0.8297   0.5517 
-0.0626   0.9977  -0.0272 
 0.4398   0.7327   0.5194 
 0.5869   0.0608  -0.8074 
 0.4980   0.8587   0.1206 
 0.6274   0.4174   0.6574 
 0.6664   0.5844  -0.4631 
-0.9099   0.3937  -0.1309 
